WARNING:root:DQN trained on Pong-v0
WARNING:root:{'LEARNING_RATE': 0.001}
WARNING:root:Episode 1120, Reward Sum -19.0.
WARNING:root:Episode 1130, Reward Sum -18.0.
WARNING:root:Episode 1140, Reward Sum -19.0.
WARNING:root:Episode 1150, Reward Sum -18.0.
WARNING:root:Episode 1160, Reward Sum -16.0.
WARNING:root:Episode 1170, Reward Sum -18.0.
WARNING:root:Episode 1180, Reward Sum -19.0.
WARNING:root:Episode 1190, Reward Sum -16.0.
WARNING:root:evaluating on 5 episodes with mean reward -17.8.
WARNING:root:Episode 1200, Reward Sum -17.0.
WARNING:root:Episode 1210, Reward Sum -20.0.
WARNING:root:Episode 1220, Reward Sum -21.0.
WARNING:root:Episode 1230, Reward Sum -16.0.
WARNING:root:Episode 1240, Reward Sum -18.0.
WARNING:root:Episode 1250, Reward Sum -20.0.
WARNING:root:Episode 1260, Reward Sum -17.0.
WARNING:root:Episode 1270, Reward Sum -18.0.
WARNING:root:Episode 1280, Reward Sum -21.0.
WARNING:root:Episode 1290, Reward Sum -18.0.
WARNING:root:evaluating on 5 episodes with mean reward -18.8.
WARNING:root:Episode 1300, Reward Sum -17.0.
WARNING:root:Episode 1310, Reward Sum -20.0.
WARNING:root:Episode 1320, Reward Sum -20.0.
WARNING:root:Episode 1330, Reward Sum -20.0.
WARNING:root:Episode 1340, Reward Sum -19.0.
WARNING:root:Episode 1350, Reward Sum -19.0.
WARNING:root:Episode 1360, Reward Sum -20.0.
WARNING:root:Episode 1370, Reward Sum -18.0.
WARNING:root:Episode 1380, Reward Sum -17.0.
WARNING:root:Episode 1390, Reward Sum -17.0.
WARNING:root:evaluating on 5 episodes with mean reward -19.2.
WARNING:root:Episode 1400, Reward Sum -20.0.
WARNING:root:Episode 1410, Reward Sum -21.0.
WARNING:root:Episode 1420, Reward Sum -19.0.
WARNING:root:Episode 1430, Reward Sum -19.0.
WARNING:root:Episode 1440, Reward Sum -20.0.
WARNING:root:Episode 1450, Reward Sum -17.0.
WARNING:root:Episode 1460, Reward Sum -18.0.
WARNING:root:Episode 1470, Reward Sum -19.0.
