WARNING:root:DQN trained on CartPole-v0
WARNING:root:{'LEARN_FREQ': 3, 'MEMORY_SIZE': 20000, 'MEMORY_WARMUP_SIZE': 300, 'BATCH_SIZE': 64, 'LEARNING_RATE': 0.001, 'GAMMA': 0.99, 'E_GREEDY': 0.1, 'E_GREEDY_DECREMENT': 1e-06, 'max_episode': 1000}
WARNING:root:train episode 115 : reward 10.0, steps 10
WARNING:root:train episode 116 : reward 10.0, steps 10
WARNING:root:train episode 117 : reward 9.0, steps 9
WARNING:root:train episode 118 : reward 11.0, steps 11
WARNING:root:train episode 119 : reward 10.0, steps 10
WARNING:root:train episode 120 : reward 9.0, steps 9
WARNING:root:train episode 121 : reward 12.0, steps 12
WARNING:root:train episode 122 : reward 12.0, steps 12
WARNING:root:train episode 123 : reward 10.0, steps 10
WARNING:root:train episode 124 : reward 11.0, steps 11
WARNING:root:train episode 125 : reward 9.0, steps 9
WARNING:root:train episode 126 : reward 10.0, steps 10
WARNING:root:train episode 127 : reward 8.0, steps 8
WARNING:root:train episode 128 : reward 8.0, steps 8
WARNING:root:train episode 129 : reward 10.0, steps 10
WARNING:root:train episode 130 : reward 9.0, steps 9
WARNING:root:train episode 131 : reward 9.0, steps 9
WARNING:root:train episode 132 : reward 10.0, steps 10
WARNING:root:train episode 133 : reward 10.0, steps 10
WARNING:root:train episode 134 : reward 8.0, steps 8
WARNING:root:train episode 135 : reward 9.0, steps 9
WARNING:root:train episode 136 : reward 10.0, steps 10
WARNING:root:train episode 137 : reward 8.0, steps 8
WARNING:root:train episode 138 : reward 10.0, steps 10
WARNING:root:train episode 139 : reward 10.0, steps 10
WARNING:root:train episode 140 : reward 12.0, steps 12
WARNING:root:train episode 141 : reward 10.0, steps 10
WARNING:root:train episode 142 : reward 10.0, steps 10
WARNING:root:train episode 143 : reward 12.0, steps 12
WARNING:root:train episode 144 : reward 10.0, steps 10
WARNING:root:train episode 145 : reward 10.0, steps 10
WARNING:root:train episode 146 : reward 11.0, steps 11
WARNING:root:train episode 147 : reward 10.0, steps 10
WARNING:root:train episode 148 : reward 8.0, steps 8
WARNING:root:train episode 149 : reward 10.0, steps 10
WARNING:root:train episode 150 : reward 10.0, steps 10
WARNING:root:train episode 151 : reward 11.0, steps 11
WARNING:root:evaluate 5 episodes : e_greedy 0.09817399999999818, reward 9.0
WARNING:root:train episode 152 : reward 9.0, steps 9
WARNING:root:train episode 153 : reward 10.0, steps 10
WARNING:root:train episode 154 : reward 8.0, steps 8
WARNING:root:train episode 155 : reward 9.0, steps 9
WARNING:root:train episode 156 : reward 9.0, steps 9
WARNING:root:train episode 157 : reward 10.0, steps 10
WARNING:root:train episode 158 : reward 8.0, steps 8
WARNING:root:train episode 159 : reward 9.0, steps 9
WARNING:root:train episode 160 : reward 10.0, steps 10
WARNING:root:train episode 161 : reward 10.0, steps 10
WARNING:root:train episode 162 : reward 10.0, steps 10
WARNING:root:train episode 163 : reward 9.0, steps 9
WARNING:root:train episode 164 : reward 10.0, steps 10
WARNING:root:train episode 165 : reward 10.0, steps 10
WARNING:root:train episode 166 : reward 10.0, steps 10
WARNING:root:train episode 167 : reward 10.0, steps 10
WARNING:root:train episode 168 : reward 9.0, steps 9
WARNING:root:train episode 169 : reward 9.0, steps 9
WARNING:root:train episode 170 : reward 10.0, steps 10
WARNING:root:train episode 171 : reward 10.0, steps 10
WARNING:root:train episode 172 : reward 9.0, steps 9
WARNING:root:train episode 173 : reward 9.0, steps 9
WARNING:root:train episode 174 : reward 10.0, steps 10
WARNING:root:train episode 175 : reward 9.0, steps 9
WARNING:root:train episode 176 : reward 9.0, steps 9
WARNING:root:train episode 177 : reward 10.0, steps 10
WARNING:root:train episode 178 : reward 12.0, steps 12
WARNING:root:train episode 179 : reward 9.0, steps 9
WARNING:root:train episode 180 : reward 11.0, steps 11
WARNING:root:train episode 181 : reward 10.0, steps 10
WARNING:root:train episode 182 : reward 12.0, steps 12
WARNING:root:train episode 183 : reward 11.0, steps 11
WARNING:root:train episode 184 : reward 10.0, steps 10
WARNING:root:train episode 185 : reward 9.0, steps 9
WARNING:root:train episode 186 : reward 9.0, steps 9
WARNING:root:train episode 187 : reward 10.0, steps 10
WARNING:root:train episode 188 : reward 11.0, steps 11
WARNING:root:train episode 189 : reward 10.0, steps 10
WARNING:root:train episode 190 : reward 10.0, steps 10
WARNING:root:train episode 191 : reward 9.0, steps 9
WARNING:root:train episode 192 : reward 10.0, steps 10
